c,#,Game,Release date,Price,Score rank(Userscore / Metascore),Price X Owners,Owners,plus minus,Players,plus minus,Avg Playtime,Median Playtime
1,3567,1993 Space Machine,3/28/2016,$8.99,N/A (N/A),"$729,619.41","81,159","±8,140","9,611","±2,801",0:52:00,0:08:00
1,2230,Cosmic Dust & Rust,5/17/2016,$0.99,13% (55%),"$79,923.69","80,731","±8,118","43,997","±5,993",3:28:00,3:30:00
1,3109,Asteroid Bounty Hunter,2/24/2016,$2.99,16% (58%),"$240,108.96","80,304","±8,097","37,589","±5,540",3:46:00,3:54:00
1,2890,Fragmented,4/26/2016,$9.99,13% (55%),"$755,303.94","75,606","±7,856","45,064","±6,066",4:47:00,1:26:00
1,1007,Mr.President!,10/10/2016,$1.99,34% (72%),"$150,030.08","75,392","±7,845","63,859","±7,220",2:21:00,1:16:00
1,2745,Grind Zones,7/19/2016,$4.99,15% (57%),"$373,007.49","74,751","±7,812","38,871","±5,633",3:04:00,3:11:00
1,283,Neon Chrome,4/28/2016,$14.99,93% (95%/74%),"$1,114,116.76","74,324","±7,789","23,707","±4,399",5:30:00,2:15:00
1,3359,PulseCharge,1/27/2016,$0.99,N/A (N/A),"$73,369.89","74,111","±7,778","48,482","±6,291",3:47:00,3:32:00
1,2905,Rabi-Ribi,1/28/2016,$17.99,99% (98%),"$1,321,725.30","73,470","±7,745","64,500","±7,256",15:19:00,6:56:00
1,1525,Dungeon of Zolthan,5/11/2016,$0.99,49% (80%),"$72,523.44","73,256","±7,733","48,482","±6,291",3:47:00,3:33:00
1,3188,Starward Rogue,1/22/2016,$2.99,98% (97%),"$219,035.44","73,256","±7,733","20,503","±4,091",5:42:00,1:24:00
1,11,Owlboy,11/1/2016,$24.99,93% (95%/88%),"$1,819,996.71","72,829","±7,711","57,879","±6,874",7:12:00,4:16:00
1,476,Pirate Pop Plus,11/4/2016,$4.99,N/A (N/A/65%),"$363,416.71","72,829","±7,711","14,096","±3,392",1:26:00,1:13:00
1,358,Aragami,10/4/2016,$19.99,77% (90%/71%),"$1,443,038.12","72,188","±7,677","62,578","±7,148",4:56:00,3:02:00
1,2813,Western Press,4/21/2016,$4.99,N/A (N/A),"$359,155.25","71,975","±7,665","14,310","±3,418",1:34:00,0:34:00
1,2894,8-Bit Armies,4/22/2016,$14.99,61% (85%),"$1,062,895.93","70,907","±7,608","62,150","±7,123",7:33:00,3:39:00
1,1520,Zero G Arena,11/3/2016,$2.99,90% (94%),"$209,458.47","70,053","±7,562","39,084","±5,649",0:38:00,0:22:00
1,1766,THOTH,10/7/2016,$9.99,N/A (N/A),"$693,425.88","69,412","±7,528","8,970","±2,706",0:38:00,0:10:00
1,1018,Raw Data,7/14/2016,$39.99,64% (86%),"$2,681,849.37","67,063","±7,399","61,083","±7,062",7:08:00,2:04:00
1,5,N++,8/25/2016,$14.99,98% (97%/90%),"$995,665.78","66,422","±7,364","38,444","±5,602",13:52:00,2:18:00
1,3377,Tower Unite,4/8/2016,$14.99,59% (84%),"$986,057.19","65,781","±7,328","61,723","±7,099",21:54:00,6:48:00
1,2926,Hero Quest: Tower Conflict,4/13/2016,$0.99,1% (25%),"$63,855.00","64,500","±7,256","47,627","±6,236",3:45:00,3:30:00
1,2377,Super Space Pug,6/4/2016,$0.99,14% (56%),"$63,220.41","63,859","±7,220","41,220","±5,801",3:10:00,3:28:00
1,1686,Random Access Murder,8/5/2016,$2.99,N/A (N/A),"$188,384.95","63,005","±7,172","4,912","±2,002",0:08:00,0:04:00
1,2379,35MM,5/27/2016,$8.99,34% (72%),"$562,576.22","62,578","±7,148","39,298","±5,664",2:52:00,1:55:00
