c,#,Game,Release date,Price,Score rank(Userscore / Metascore),Owners X Price,Owners,plus minus,Players,plus minus,Avg Playtime,Median Playtime
1,203,ALONE IN SPACE,2/22/2016,$9.99,6% (43%),"$47,982","4,803","±2,049","3,202","±1,673",2:23:00,2:15:00
1,221,SparkDimension,10/4/2016,$9.99,N/A (N/A),"$47,982","4,803","±2,049",457,±632,3:02:00,2:01:00
,,,,,,,,,,,,
1,345,Wild Terra Online,12/16/2016,$14.99,23% (65%),"$71,997","4,803","±2,049","4,574","±2,000",16:51:00,16:21:00
1,439,Shadows of Kurgansk,12/15/2016,$14.99,39% (75%),"$71,997","4,803","±2,049","3,659","±1,789",2:07:00,2:09:00
1,348,Earth Space Colonies,7/1/2016,$14.99,12% (54%),"$68,564","4,574","±2,000","4,117","±1,897",4:49:00,1:58:00
1,460,Phantasmal,4/14/2016,$14.99,26% (67%),"$65,132","4,345","±1,949","3,659","±1,789",1:03:00,1:00:00
1,440,Yon Paradox,5/6/2016,$2.99,N/A (N/A),"$12,310","4,117","±1,897","1,830","±1,265",0:52:00,0:23:00
,,,,,,,,,,,,
1,305,Mind Dead,8/16/2016,$6.99,N/A (N/A),"$27,177","3,888","±1,844",0,±0,0:00:00,0:00:00
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
1,387,Radiation Island,11/29/2016,$2.99,47% (79%),"$10,259","3,431","±1,732","2,744","±1,549",4:53:00,8:59:00
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
1,324,Grizzly Project,4/23/2016,$4.99,7% (46%),"$15,978","3,202","±1,673","2,287","±1,414",1:24:00,1:47:00
,,,,,,,,,,,,
1,277,Void,8/16/2016,$4.99,N/A (N/A),"$14,835","2,973","±1,612","1,144","±1,000",4:05:00,5:13:00
1,297,Three Days,5/11/2016,$4.99,N/A (N/A),"$14,835","2,973","±1,612","1,830","±1,265",3:52:00,6:32:00
1,285,Alchemist's Awakening,3/21/2016,$15.99,28% (68%),"$43,877","2,744","±1,549","2,516","±1,483",3:05:00,3:07:00
1,338,Lethe - Episode One,8/1/2016,$14.99,87% (93%),"$41,133","2,744","±1,549","2,058","±1,341",3:36:00,4:45:00
1,329,Xenoraid,9/30/2016,$9.99,N/A (N/A),"$26,863","2,689","±1,860","2,017","±1,611",3:37:00,4:43:00
1,226,Unveil,4/19/2016,$14.99,N/A (N/A),"$37,715","2,516","±1,483","1,830","±1,265",4:39:00,8:43:00
1,267,Star Rangers,7/6/2016,$11.99,5% (41%),"$30,167","2,516","±1,483","2,058","±1,341",2:28:00,2:06:00
1,284,Exoplanet: First Contact,12/9/2016,$19.99,N/A (N/A),"$50,295","2,516","±1,483","1,830","±1,265",0:50:00,0:41:00
1,251,Red Rope: Don't Fall Behind,7/21/2016,$7.99,N/A (N/A),"$18,800","2,353","±1,740","1,680","±1,470",0:33:00,0:55:00
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
1,379,Badiya,11/11/2016,$19.99,26% (67%),"$45,717","2,287","±1,414","2,058","±1,341",1:00:00,1:22:00
,,,,,,,,,,,,
,,,,,,,,,,,,
1,193,Blue Effect VR,9/29/2016,$14.99,77% (90%),"$30,849","2,058","±1,341","1,372","±1,095",0:23:00,0:36:00
1,265,Versus Game,10/26/2016,$9.99,49% (80%),"$20,559","2,058","±1,341","2,058","±1,341",0:58:00,1:21:00
1,300,Shadows Peak,3/18/2016,$7.99,N/A (N/A),"$16,443","2,058","±1,341","1,830","±1,265",0:49:00,1:00:00
1,315,STORM VR,9/24/2016,$1.99,54% (82%),"$4,095","2,058","±1,341","1,601","±1,183",0:34:00,0:39:00
1,429,Shards of Azuria,10/12/2016,$4.99,N/A (N/A),"$10,269","2,058","±1,341","1,372","±1,095",1:44:00,1:43:00
,,,,,,,,,,,,
,,,,,,,,,,,,
1,302,SWEATER? OK!,12/16/2016,$0.99,N/A (N/A),"$1,812","1,830","±1,265",915,±894,4:02:00,0:54:00
1,321,Far Beyond: A space odyssey,10/28/2016,$19.99,56% (83%),"$36,582","1,830","±1,265","1,601","±1,183",1:37:00,1:40:00
1,448,Security Hole,9/28/2016,$9.99,99% (98%),"$18,282","1,830","±1,265",686,±774,0:20:00,0:19:00
1,236,Grimm: Dark Legacy,11/2/2016,$14.99,N/A (N/A),"$20,566","1,372","±1,095","1,144","±1,000",3:04:00,4:28:00
1,311,Rogalia,12/9/2016,$11.99,59% (84%),"$16,450","1,372","±1,095","1,144","±1,000",6:01:00,7:41:00
1,382,OESE,6/14/2016,$4.99,N/A (N/A),"$6,846","1,372","±1,095","1,144","±1,000",1:00:00,0:55:00
1,421,Drift King: Survival,11/24/2016,$4.99,N/A (N/A),"$6,846","1,372","±1,095","1,372","±1,095",0:17:00,0:22:00
