c,#,Game,Release date,Price,Score rank(Userscore / Metascore),Owners X Price,Owners,plus minus,Players,plus minus,Avg Playtime,Median Playtime
1,257,Star Rangers,7/6/2016,$11.99,5% (41%),"$30,166.84","2,516","±1,483","2,058","±1,341",2:28:00,2:06:00
1,276,Samphi,3/18/2016,$4.99,N/A (N/A),"$12,554.84","2,516","±1,483","1,601","±1,183",3:16:00,4:50:00
1,113,CyberThreat,8/18/2016,$14.99,67% (87%),"$34,282.13","2,287","±1,414","2,058","±1,341",0:32:00,0:41:00
1,150,Shards of Azuria,10/12/2016,$4.99,N/A (N/A),"$10,269.42","2,058","±1,341","1,372","±1,095",1:44:00,1:43:00
1,348,Brick Inventions,3/23/2016,$4.99,N/A (N/A),"$9,131.70","1,830","±1,265","1,830","±1,265",2:03:00,4:00:00
1,160,GravLab - Gravitational Testing Facility & Observations,10/20/2016,$14.99,N/A (N/A),"$23,998.99","1,601","±1,183","1,144","±1,000",0:51:00,1:08:00
1,319,Combat Air Patrol 2,6/6/2016,$29.99,20% (62%),"$48,013.99","1,601","±1,183","1,372","±1,095",1:07:00,1:22:00
1,299,Rogalia,12/9/2016,$11.99,59% (84%),"$16,450.28","1,372","±1,095","1,144","±1,000",6:01:00,7:41:00
1,168,Factory Engineer,9/9/2016,$9.99,N/A (N/A),"$11,428.56","1,144","±1,000",915,±894,5:38:00,7:12:00
1,231,Puzzle Box,4/22/2016,$9.99,N/A (N/A),"$11,428.56","1,144","±1,000",457,±632,1:10:00,0:46:00
1,106,Divergence: Online,1/6/2016,$19.99,26% (67%),"$20,149.92","1,008","±1,139",672,±930,1:36:00,1:04:00
1,167,Deisim,12/19/2016,$7.99,N/A (N/A),"$7,310.85",915,±894,915,±894,0:53:00,1:09:00
1,268,Galactineers,3/25/2016,$9.99,N/A (N/A),"$9,140.85",915,±894,229,±447,0:44:00,0:14:00
1,335,Satellite Command,12/16/2016,$12.99,N/A (N/A),"$11,885.85",915,±894,686,±774,4:20:00,3:53:00
1,334,Lonelyland VR,11/9/2016,$14.99,N/A (N/A),"$9,743.50",650,"±1,273",650,"±1,273",0:20:00,0:20:00
